Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
Cory Joseph,5:21,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-13,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,113,-25.0,ORL,202410230MIA
Franz Wagner,23:06,10,16,.625,3,6,.500,0,0,,1,3,4,4,2,1,0,3,23,21.7,+31,.719,.719,.375,.000,4.2,13.0,8.5,41.1,4.3,4.3,0.0,27.8,156,95,23.0,ORL,202410230MIA
Gary Harris,21:46,6,9,.667,6,9,.667,0,0,,1,2,3,1,0,2,1,1,18,16.1,+2,1.000,1.000,1.000,.000,4.4,9.2,6.8,7.9,0.0,9.2,10.0,18.4,163,104,20.3,ORL,202410230MIA
Goga Bitadze,5:21,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,1,0,-2.5,-13,.000,.000,1.000,.000,0.0,37.4,18.3,0.0,0.0,0.0,66.7,22.5,0,101,-36.0,ORL,202410230MIA
Jalen Suggs,12:32,3,4,.750,1,2,.500,4,4,1.000,0,2,2,4,1,0,1,3,11,11.6,+18,.955,.875,.500,1.000,0.0,16.0,7.8,51.9,4.0,0.0,14.8,21.6,178,98,20.5,ORL,202410230MIA
Jett Howard,5:21,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-13,.000,.000,.667,.000,0.0,18.7,9.2,0.0,0.0,0.0,0.0,22.5,0,107,-30.5,ORL,202410230MIA
Jonathan Isaac,11:27,1,4,.250,1,2,.500,0,2,.000,2,1,3,0,1,2,0,1,3,3.5,-10,.307,.375,.500,.500,16.8,8.7,12.8,0.0,4.4,17.5,0.0,17.1,88,88,-2.0,ORL,202410230MIA
Kentavious Caldwell-Pope,25:09,0,5,.000,0,5,.000,3,3,1.000,1,0,1,2,1,2,2,1,3,1.6,+24,.237,.000,1.000,.600,3.8,0.0,1.9,9.3,2.0,8.0,24.0,13.3,65,103,-8.4,ORL,202410230MIA
Moritz Wagner,16:02,2,4,.500,1,3,.333,2,2,1.000,1,5,6,2,0,0,1,2,7,6.8,0,.717,.625,.750,.500,6.0,31.2,18.3,17.1,0.0,0.0,17.0,14.7,140,103,0.9,ORL,202410230MIA
Paolo Banchero,31:12,12,24,.500,4,8,.500,5,6,.833,4,7,11,3,1,1,0,2,33,28.5,+42,.619,.583,.333,.250,12.3,22.4,17.3,20.5,1.6,3.2,0.0,34.2,143,100,16.4,ORL,202410230MIA
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,ORL,202410230MIA
Team Totals,240,41,96,.427,18,49,.367,16,22,.727,18,39,57,28,8,8,14,21,116,,,.549,.521,.510,.229,36.0,81.3,58.2,68.3,8.3,16.7,11.7,100.0,120.7,100.9,,ORL,202410230MIA
Tristan Da Silva,5:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-13,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,0,113,-26.0,ORL,202410230MIA
Wendell Carter Jr.,26:37,3,7,.429,1,2,.500,1,2,.500,4,10,14,2,2,0,1,2,8,11.3,+32,.508,.500,.286,.286,14.4,37.6,25.8,10.1,3.8,0.0,11.3,13.4,121,92,1.6,ORL,202410230MIA
Alec Burks,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,202410230MIA
Bam Adebayo,25:31,1,5,.200,0,2,.000,7,10,.700,3,2,5,1,0,0,0,1,9,7.7,-30,.479,.200,.400,2.000,11.8,7.5,9.6,6.2,0.0,0.0,0.0,16.7,121,127,-6.3,MIA,202410230MIA
Dru Smith,6:15,0,1,.000,0,0,,0,0,,1,0,1,1,0,1,0,0,0,1.4,+13,.000,.000,.000,.000,16.0,0.0,7.8,24.0,0.0,16.3,0.0,7.3,91,125,1.1,MIA,202410230MIA
Duncan Robinson,19:40,2,7,.286,2,5,.400,0,0,,0,1,1,1,0,0,0,4,6,1.3,-2,.429,.429,.714,.000,0.0,4.9,2.5,9.0,0.0,0.0,0.0,16.2,89,128,-11.1,MIA,202410230MIA
Haywood Highsmith,30:14,4,8,.500,1,2,.500,0,0,,1,4,5,2,2,1,1,3,9,8.8,-6,.563,.563,.250,.000,3.3,12.7,8.1,12.4,3.3,3.4,11.1,13.5,105,115,-0.5,MIA,202410230MIA
Jaime Jaquez Jr.,19:11,4,9,.444,2,2,1.000,3,5,.600,2,3,5,3,0,0,2,4,13,8.3,-23,.580,.556,.222,.556,10.4,15.0,12.8,34.1,0.0,0.0,15.2,31.2,108,123,-0.7,MIA,202410230MIA
